Word,Count
*,953
,302
in,230
the,228
this,217
change,199
choose,198
template,198
To,198
and,161
|,160
Diarsid,156
@author,120
open,102
Headers,99
License,99
\file,\,99
Project,99
Tools,99
editor,99
Properties,99
license,99
Templates,99
\header,\,99
to,98
is,54
time,53
it,39
Beam,38
project:,36
author:,36
of,31
be,30
if,30
no,29
that,28
there,27
for,26
all,25
program,25
If,24
with,24
or,23
are,23
by,21
Methods,21
close,20
Fields,20
not,20
tasks,19
return,18
been,18
task,17
execution,17
was,17
operation,16
has,16
============================================================================,16
-,16
=============================================================================,16
Constructors,16
It,15
method,15
output,14
will,14
them,14
=======================================================================,14
pattern:,13
means,13
performed,13
into,12
},12
stop,12
command,12
resources,12
database,12
do,12
update,11
main,11
methods,11
new,11
than,10
should,10
fails,10
SQLException,10
but,10
current,10
\rollback,\,10
get,10
rethrow,10
:,10
make,10
which,10
show,9
=,9
given,9
used,9
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯,9
specified,9
input,9
active,9
properly,9
________________________________________________________________________________________,9
have,9
Execute,8
can,8
set,8
when,8
longer,7
program`s,7
format:,7
other,7
external,7
it's,7
only,7
+,7
string,7
from,7
future,6
after,6
system,6
indicate,6
save,6
format,6
MIN,6
it`s,6
lag,6
chars,6
through,6
//,6
value,6
class,6
its,6
between,6
hourly,6
name,6
specifies,6
loop,6
object,6
while,6
table,6
just,6
PreparedStatement,6
rows,6
RMI,5
JavaFX,5
delimiter,5
int,5
a,5
connection,5
work,5
parameters,5
Is,5
+----------+------------+-----------------+------------------------------+----------------+------------------+---------------+,5
use,5
during,5
represented,5
text,5
implied,5
permitted,5
DB,5
about,5
objects,5
Statement,5
first,5
SQL,5
Interface,5
hour,4
Used,4
hours,4
necessary,4
+------------+------------+--------------+,4
\"\"\\,4
whether,4
timer,4
configuration,4
days,4
day,4
expired,4
ExternalIOInterface,4
actual,4
\inactive,\,4
\tasks,\,4
->,4
does,4
comes,4
/,4
@Override,4
they,4
one,4
Table,4
perform,4
later,4
any,4
corrected,4
as,4
exists,4
\day,\,4
corresponding,4
using,4
list,4
Statements,4
\minutes,\,3
implements,3
locations,3
contained,3
again,3
this.ioEngine.resolveVariantsWithExternalIO(,3
'.',3
postponed,3
responsible,3
added,3
several,3
mustBeFuture,3
on,3
beginning,3
some,3
must,3
length,3
saved,3
entities,3
implemented,3
verified,3
Constructor,3
next,3
Defines,3
query,3
\task,\,3
\System.out.println("\[DAO\,3
commit,3
particular,3
like,3
operations,3
static,3
information,3
watch,3
daily,3
according,3
see,3
stored,3
\System.out.println("\[TRANSACTION]\,3
auto,3
creation,3
\"\\,3
past,3
HH:MM,3
pause,3
file,3
[location],3
default,3
user,3
String,3
remote,3
\"\:"\\,3
describes,3
defines,3
description,3
month,3
occured,3
\"\There\,3
status,3
\"\);\,3
TRUE,3
try,3
{,3
task`s,3
ResultSets,3
parsed,3
+---------------------------------------------------------------------------------+,3
so,3
Method,3
[program],3
sequence,3
ResultSet,3
until,3
impossible,3
\changes,\,2
ways,2
LocalDateTime.MIN,2
element,2
pool,2
\update,\,2
\hours,\,2
tasks],2
release,2
printing,2
nothing,2
scheduled,2
throw,2
Just,2
platform,2
strings,2
block,2
+--------------------------------------------------------------+,2
LocalDateTime,2
boolean,2
connect,2
locationPartLength,2
startArgs){,2
date,2
entered,2
location,2
package,2
reportInfo,2
coordinates,2
finishes,2
names:,2
connecting,2
formatted,2
usage,2
control,2
\scheduler,\,2
myProject,2
myFile.ext,2
GUI,2
concrete,2
target,2
commands,2
closing,2
NULL,2
placed,2
NetBe,2
initial,2
organizer,2
etc,2
logically,2
argument,2
center,2
represents,2
\events,\,2
\messages,\,2
xPath,2
invoked,2
further,2
yet,2
parameter,2
Terminates,2
previously,2
reseted,2
Param,2
text),2
\System.out.println("\[UPDATE\,2
implementation,2
attempt,2
TO,2
reading,2
\database,\,2
TEXT,2
behavior,2
different,2
screen,2
ConfigModule,2
earliest,2
implementations,2
idea,2
\errors,\,2
config.xml,2
illustration,2
error,2
port,2
where,2
starts,2
folder,2
failed,2
alarm,2
NetBeans.lnk,2
OS,2
now,2
Create,2
(ResultSets,2
closed,2
errors,2
window,2
123,2
==,2
actions,2
'Native',2
year,2
IO,2
myPr,2
Thread.sleep(300);,2
full,2
their,2
XML,2
restore,2
-------------------,2
\"\my.package.with.database."\\,2
both,2
\commit,\,2
javaBooks,2
endless,2
event,2
appropriate,2
modules,2
\"\my.package.with.database.DataBaseInfo"\\,2
check,2
Let's,2
symbol,2
@return,2
\notep,\,2
accepting,2
requirements,2
breaks,2
time-date,2
Application,2
created,2
begin,2
name:,2
returns,2
webpanel,2
run,2
io,2
'~}',2
interface,2
minutes,2
at,2
task's,2
obtained,2
directory,2
targetName,2
DELETE,2
part,2
required,2
interaction,2
what,2
exceptions,2
field,2
Notifications,2
message,2
JdbcTransactionWrapper),2
working,2
continue,2
@param,2
myFil,2
+----------------+---------------------------------------------+,2
space,2
engine,2
FALSE,2
451,2
\exceptions,\,2
obtain,2
mechanism,2
Characters,2
windows,2
unavailable,2
\notepad.exe,\,2
program's,2
isCritical,2
TIMER],2
1,2
\actions,\,1
netbeans::open,1
features,1
Dispatcher,1
collected,1
firefox,1
criteria,1
actualy,1
\loop,\,1
[file],1
\this.configurations.put(configParam,\,1
verifyTextOnForbiddenChars(String,1
dependencies,1
problem,1
anything,1
Otherwise,1
finally,1
real,1
builds,1
BOOKMARKS,1
differnt,1
loc1,1
managing,1
try{,1
\autocommit"\);\,1
HH:mm,1
configParamName,1
point,1
WEBPANEL,1
DataBase,1
executor,1
+MM,1
void,1
com.drs.beam.starter.Starter;,1
compare,1
\commands:"\,\,1
Parses,1
adapter,1
stopped,1
[program_2],1
became,1
Parameter,1
settings,1
choosedVariant,1
\FALSE,\,1
indexOfEqual);,1
processing,1
variables,1
8,1
path/to/loc1,1
need,1
indexOfEqual;,1
devised,1
top,1
reachable,1
under,1
Task,1
0,1
Are,1
rmi.policy,1
configurationPair.length());,1
force,1
define,1
unreachable,1
Program,1
Hides,1
provides,1
command_choices,1
Remote,1
facebook,1
path,1
less,1
Go,1
based,1
whith,1
object`s,1
already,1
command_name,1
specified:,1
remembered,1
obtains,1
\0,0\,1
JDBC,1
[program_3]..,1
[webPage_2]..,1
with|w,1
user`s,1
\locationPath"\,\,1
page_shortcuts,1
\correctly,\,1
for(String,1
configModule.get(Config.IMAGES_LOCATION));,1
pageNames);,1
3,1
bl,1
(String,1
configParamValue);,1
\"\Native"\\,1
scheduler.getQueue().size());,1
regarding,1
configs,1
\"\common"\\,1
transactions,1
\yearly,\,1
+----------------------------------------------------------------------------------------------------------------------------+,1
were,1
Or,1
Initiates,1
fb,1
tackle,1
parsing,1
Class,1
events,1
incorrect,1
External,1
able,1
lib,1
dao,1
\Connection,\,1
raw,1
reference,1
actually,1
moment,1
[file|folder],1
fboo,1
-----------------------,1
\"\locationName\,1
100:100,1
application,1
non-active,1
|https://some.java.blog..,1
Main,1
\query,\,1
remains,1
\ends,\,1
removed,1
task..,1
page_directory,1
unknown,1
[webPage],1
uuuu-MM-dd,1
Text,1
getting,1
JFXPanel,1
stores,1
[webPage_1],1
configModule.parseStartArgumentsIntoConfiguration(Beam.getConfigArgs());,1
exported,1
Interacts,1
(LocalDateTime.now().isAfter(taskManager.getFirstTaskTime())){,1
span,1
simple,1
initialization,1
ModuleInitializationException();,1
one-off,1
16,1
JVM,1
access,1
within,1
.append(Console.class.getCanonicalName()),1
GC,1
\TRUE,\,1
deleteAllEvents();,1
whole,1
OSUnix,1
reminder,1
\data,\,1
neither,1
inactivePeriod);,1
text){,1
indexOfEqual,1
\window,\,1
[program_1],1
increased,1
how,1
y,1
e){},1
convey,1
+HH:MM,1
builder,1
Any,1
numbers,1
10,1
GuiJavaFX.buildAndLaunchGui(,1
pretty,1
flow,1
Implementation,1
ConfigParam.valueOf(configParamName);,1
java_lang,1
location_path,1
location_name,1
[browserName],1
end,1
represent,1
wiki,1
Concerns,1
web_pages,1
specify,1
contains,1
appearing,1
--------------------------,1
receiving,1
RemoteException,1
large,1
string[],1
InnerIOModule,1
circumstances,1
inactivity,1
deletion,1
configParamName;,1
'pause',1
else,1
s,1
another/path,1
dd,1
scheduling,1
myproj,1
something,1
5,1
(this.configurations.isEmpty()){,1
java/blogs/misc,1
call,1
Pivotal,1
org.h2.jdbcx.JdbcConnectionPool,1
\Statements,\,1
across,1
another,1
Console,1
===========================,1
null,1
Position,1
All,1
technology,1
an,1
today's,1
page_id,1
start,1
parseStartArgumentsIntoConfiguration(String[],1
watching,1
console)is,1
\daily,\,1
exporting,1
RUN],1
\TASK]"\);\,1
wrapper,1
Runnable,1
firstScheduled,1
======================,1
bookmarks,1
excecuted,1
jar,1
\"\empty"\\,1
exampleLoc,1
position,1
);,1
verifyTaskOnForbiddenChars(String[],1
messages,1
page_placement,1
configParam,1
\corner,\,1
instead,1
explicitly,1
|https://en.wikipedia.org,1
perfrormed,1
schedule,1
Connection,1
Formatted,1
disabling,1
even,1
object's,1
social,1
Gui,1
[command_1],1
Intended,1
connections,1
There,1
treatment,1
StarterWindows,1
TasksDAO,1
exit,1
nor,1
outside,1
page_name,1
storing,1
Transaction,1
\commit"\);\,1
intended,1
disable,1
xPathToElement,1
page_browser,1
public,1
(InterruptedException,1
No,1
\"\java"\\,1
After,1
I,1
path/to/another/loc,1
Connects,1
describe,1
parts,1
core,1
projects::open,1
filled,1
sense,1
\reading,\,1
before,1
jbl,1
disabled,1
incoming,1
froom,1
\"\com"\\,1
true;,1
text.contains(Task.DB_TASK_DELIMITER));,1
activity,1
configParamValue,1
(s.contains(Task.DB_TASK_DELIMITER)){,1
bottom,1
+----------------------------------------+,1
configParamValue;,1
\configurationPair.substring(0,\,1
cases,1
response,1
sufficient,1
due,1
configParam;,1
choice_id,1
So,1
finished,1
(,1
init,1
infomation,1
\System.out.println("\[CREATE\,1
inactivePeriod,1
dd-mm,1
========================================================================,1
NEW,1
H2,1
324,1
registry,1
locName,1
zero,1
============================================================,1
|---------------+-----------------------------------------------------------------+,1
ExternalIO,1
cannot,1
11,1
\locationName.length(),\,1
gui,1
itself,1
properly..,1
informing,1
loading,1
runnables,1
\input,\,1
vk,1
Thread',1
\System.out.println("\[TIMER:\,1
==================================================================,1
command_text,1
bind,1
display,1
(taskManager.isAnyTasks()){,1
chrome,1
(true){,1
test,1
Native,1
Swing,1
catch,1
connects,1
Unrecognizable,1
Allows,1
break,1
left,1
seems,1
usual,1
doesn't,1
Invoked,1
true,1
6,1
it;,1
classpath,1
ConfigParam,1
hides,1
corner,1
inactive,1
\time,\,1
\locations:"\,\,1
varNumber,1
Time,1
(e.g,1
avoid,1
satisfied,1
\"\blogs/java"\\,1
\close"\);\,1
previous,1
come,1
warnings,1
\"\blogs/java/another/subdir"\\,1
configurationPair,1
0-9,1
locationName.length(),1
variant,1
faceb,1
Central,1
These,1
here,1
choice,1
DAO,1
UI,1
Tasks,1
taskManager.performFirstTasks();,1
\rs.getString("\t_time"\));\,1
\types,\,1
Timer,1
period,1
Runs,1
config,1
\pages:"\,\,1
Starter{,1
locationNames);,1
native,1
x,1
Module,1
op,1
Attempt,1
\configurationPair.substring(indexOfEqual+1,\,1
proceed,1
OK,1
page_url,1
cause,1
\monthly,\,1
requires,1
content,1
\hourly,\,1
own,1
operate,1
Java,1
xml,1
devide,1
exactly,1
task],1
rollback,1
java,1
false;,1
Bloch,1
notifications,1
commandNames,1
..,1
java_blog,1
himself,1
|https://www.facebook.com..,1
select:,1
choosed,1
import,1
may,1
/path/to/my/library/with/books/about/java,1
vkontakt,1
NOT,1
determined,1
typically,1
webPages,1
shutdown,1
classes,1
opened,1
exception,1
This,1
equal,1
PreparedStatements,1
allowed,1
statuses,1
Wrap,1
right,1
state:,1
[command_2]..,1
'JavaFX,1
Boolean,1
clarify,1
common,1
choices,1
=================================================================,1
returned,1
\configurationPair.indexOf("\="\);\,1
driver,1
Some,1
